,area,title,id,description,requirements
221,מרכז,Motion Control Engineer,376771,"חברה ותיקה, מבוססת ומצליחה, אשר משמשת מפיצה מובילה של ציוד בקרת הינע, מעוניינת לגייס Motion Control Engineer.","B.Sc בהנדסת אלקטרוניקה / חשמל, תוך התמחות בבקרה ניסיון בפיתוח DSP / Real-Time embedded ניסיון בפיתוח ב-C יכולת לפתח אלגוריתמים ב- Matlabניסיון בתחום ה-motion control- יתרון ידע בתחום התקשורת - יתרון "
222,מרכז,SCALA DEVELOPER,376765,"לחברת הייטק בתחום הפינטק, מפתחים פתרונות אנליטיים למוסדות פיננסים דרוש/ה: SCALA DEVELOPER",2-3 שנות נסיון בפיתוח Scala-חובה נסיון בעבודה על גבי Cloud-חובה נסיון ב REST מבוסס WEB Service-חובה 
223,מרכז,Front End Team Leader,376764,לחברת הייטק בתחום הפינטק המפתחת פתרונות אנליטיים למוסדות פיננסים דרוש/ה: Front End Team Leader,
224,מרכז,Full-stack developer,376698,פיתוח ותחזוקה של שירותים מבוססי הענן שלנו עבור מוצרי IoT של החברה עבור חברת סטארט אפ הממוקמת בראש העין-פארק אפק,3 שנות ניסיון בפיתוח תוכנה - חובהחובה ניסיון משמעותי ומוכח בטכנולוגיות הבאות  SPRING +NODE.JS+JAVA B.Sc. במדעי המחשב - יתרון
225,מרכז,Embedded SW Engineer,376668,"עבור חברה מובילה בתחום ה Automotive דרוש\ה מהנדס\ת תוכנה מנוסה, לפיתוח Linux Embedded ב C\++C ",תואר Bsc במדעי המחשב מטעם מוסד אקדמי מוכר - חובה לפחות 3 שנות ניסיון בפיתוח מערכות RT Embedded - חובה ניסיון בתחומי ראייה ממוחשבת\צ'יפים\אוטומוטיב - יתרון
226,מרכז,Senior Software Engineer,376660,לחברה המפתחת פלטפורמה המבוססת על בינה מלאכותית ו-AI היודעת לטייב את הפרסום ברשתות ולמקסם את קהל המשתמשים דרוש/ה: Senior Software Engineer,נסיון באימפלמנטציה ועיצוב של מערכות שהן highly scalable ו distributed web applications-חובה 6+ שנות נסיון בפיתוח תוכנה-חובה 6+ שנות נסיון בpython-חובה נסיון כdata engineering 6+ שנות נסיון React/Angular תואר ראשון
227,שרון,Full Stack Developer,376618,לחברת תקשורת המפתחת מוצר בתחום ה IOT דרוש/ה מהנדס/ת Full Stack,
228,מרכז,Angular Tech Lead,376613,"לסטארט אפ גלובאלי מצליח בת""א דרוש/ה Angular Tech Lead","תואר ראשון במדעי המחשב / או הנדסת תוכנה / או יוצאי יחידות טכנולוגיות - יתרון 3+ שנות ניסיון ומעלה בפיתוח - חובה התמחות ב Angular - חובה !!! Angular 2 ומעלה - בלבד הבנה בפיתוח WEB ניסיון בסביבת Linux - יתרון ניסיון עם API, REST, SOAP וכדומה - יתרון ניסיון בפיתוח בשפות: Node.js, Go וכדומה - יתרון ניסיון עם NoSQL - יתרון"
229,מרכז,מפתח/ת ANDROID,371126,לחברת סטארט אפ מובילה במרכז דרוש/ה מפתח/ת ANDROID. הזדמנות להשתלב בחזית הטכנולוגיה חברה דינאמית מצליחה!,"תואר ראשון במדעי המחשבמעל ל- 3 ש""נ בפיתוח ב- ANDROID לפחות  שנתיים בהבנה של קוד שכתוב ב- JAVA, KOTLIN עבודה במתודולוגיית AGAILE .ניסיון בעבודה עם Android apps  Google Play"
230,מרכז,מפתח/ת Fullstack,376605,לחברה המפתחת מוצר הפועל על ידי פריסת סיבים אופטיים על גבי רשת החשמל דרוש/ה: מפתח/ת Fullstack,
231,מרכז,Real-Time Software Engineer,376596,דרוש/ה מהנדס/ת תוכנה לפיתוח בתחום הרדארים,"תואר ראשון B.Sc./M.Sc או לחילופין יוצאי יחידות - חובהלפחות 3 ש""נ בפיתוח Linux Embedded - חובהניסיון בפיתוח בשפות C או++ C - חובההכרות עם MATLAB - חובהרקע בעיבוד אות/עיבוד תמונה- יתרון משמעותינסיון בLinux Kernel - יתרון משמעותי"
